City,Latitude,Longitude
Moriguchi,34.7375,135.5642
Pomona,34.0585,-117.7626
Shāhrūd,36.4181,54.9764
Al ‘Aqabah,29.5319,35.0056
Odintsovo,55.6667,37.2667
Ereğli,37.5167,34.05
Kumbakonam,10.9602,79.3845
Inezgane,30.3658,-9.5381
Giá Rai,9.25,105.417
Umtata,-31.58,28.79
Myebon,20.05,93.3667
Mabacun,24.6807,113.5936
Kent,47.3887,-122.2128
Gondiā,21.45,80.2
Batang,-6.9081,109.7304
Vitória de Santo Antão,-8.1264,-35.3075
Koforidua,6.0833,-0.25
Nagda,23.4564,75.4131
Exeter,50.7256,-3.5269
Bonao,18.95,-70.41
Bimbo,4.3313,18.5163
Ise,34.4833,136.7167
Kashiwara,34.5167,135.8
Unwana,5.8625,7.9486
Pleven,43.4078,24.6203
Trento,46.0667,11.1167
Agadez,16.9959,7.9828
Manpo,41.157,126.29
Adjaouèrè,7.0,2.6167
Ariana,36.8625,10.1956
Gresham,45.5021,-122.4413
Euriápolis,-16.3778,-39.58
Shujālpur,23.4,76.72
Terrebonne,45.7,-73.6333
Kiffa,16.63,-11.4
Altamira,-3.2028,-52.2058
Douliu,23.7075,120.5439
Wembley,51.5528,-0.2979
Kishanganj,26.0794,87.9372
Komatsu,36.4083,136.4455
Konotop,51.2369,33.2027
Davie,26.0789,-80.287
Kalyani,22.975,88.4344
Norwalk,33.9069,-118.0829
Wichita Falls,33.9072,-98.5291
Zheleznogorsk,52.3333,35.3667
Kōnan,35.3321,136.8707
Hemel Hempstead,51.7526,-0.4692
Marmagao,15.402,73.8
Monte Chingolo,-34.7333,-58.35
Cadereyta Jiménez,25.6,-100.0
Bismarck,46.8143,-100.7694
Salina Cruz,16.1833,-95.2
Ágios Dimítrios,37.9333,23.7333
Reşiţa,45.3008,21.8892
Ivanteyevka,55.9833,37.9333
Lelystad,52.5,5.4833
Al Muḩarraq,26.25,50.6167
Cheyenne,41.135,-104.7902
Poblacion,10.25,123.95
Thakhèk,17.4,104.8
Pantin,48.8966,2.4017
Fujiidera,34.5667,135.6
Hihyā,30.6687,31.5904
Täby,59.4333,18.0833
Gampaha,7.0917,79.9997
Soroti,1.715,33.6111
Ōsakasayama,34.5,135.55
Madang,-5.2167,145.8
Gardena,33.8943,-118.3072
Azrou,33.4417,-5.2247
Dosso,13.05,3.2
Mafeteng,-29.8167,27.25
Zouerate,22.7333,-12.4667
Amalāpuram,16.5787,82.0061
Korçë,40.6167,20.7667
Aloha,45.492,-122.8725
Whangarei,-35.725,174.3236
Barnet,51.6444,-0.1997
Pākaur,24.63,87.85
Rovenky,48.0833,39.3667
Njombe,-9.3333,34.7667
Middleton,53.555,-2.187
Castleford,53.716,-1.356
Port Loko,8.7667,-12.7875
Kalmar,56.6614,16.3628
Kampong Chhnang,12.25,104.6667
Kampot,10.6,104.1667
Échirolles,45.1436,5.7183
Nallūr,11.1003,77.3914
Houilles,48.9261,2.1892
Āzezo,12.5586,37.4308
Abasolo,20.4511,-101.5289
Attingal,8.68,76.83
Foothill Farms,38.6867,-121.3475
Hyde,53.4474,-2.082
South Miami Heights,25.5886,-80.3862
West Hollywood,34.0883,-118.3719
Elesvaram,17.2833,82.1
Fort Liberté,19.6678,-71.8397
Zhaoyu,37.3512,112.3193
Curridabat,9.916,-84.0348
Harper,4.3667,-7.7167
Bangassou,4.7374,22.8195
Babati,-4.2167,35.75
Nāravārikuppam,13.1913,80.1847
Avellaneda,-34.6625,-58.3678
Kafr Baţnā,33.5,36.3667
Colonia del Sacramento,-34.4714,-57.8442
Coulsdon,51.3211,-0.1386
Clydebank,55.8997,-4.4006
Alençon,48.4306,0.0931
Penarth,51.43,-3.17
Shtime,42.4333,21.0333
Frontera,18.5336,-92.6469
Sélibaby,15.1592,-12.1833
Oak Ridge,28.4727,-81.4169
Penistone,53.525,-1.629
Kānke,23.4348,85.3206
Shārūnah,28.5667,30.85
Carlow,52.8306,-6.9317
Senago,45.5833,9.1333
Nerupperichchal,11.161,77.374
Selby,53.7818,-1.0703
Oulad Fraj,32.9667,-8.2333
Bingley,53.846,-1.836
Tapalpa,19.9445,-103.7585
Four Square Mile,39.6808,-104.888
Harpur,26.4527,86.071
Néa Erythraía,38.0833,23.8167
Zaghouan,36.4,10.15
Kirkland,45.45,-73.8667
Saynshand,44.8917,110.1367
Deysbrook,53.429,-2.934
South Hayling,50.7876,-0.977
Dhūmnagar,26.756,84.5233
Buckley,53.172,-3.086
Singhwara,26.1842,85.7368
Hasanpur Juned,25.5915,85.5238
Enghien-les-Bains,48.9697,2.3081
Wanstead,51.5778,0.0286
Tân Vạn,10.9119,106.8261
Manassas Park,38.7709,-77.4429
Tukums,56.9667,23.15
Vincent,34.0983,-117.9238
Monte di Procida,40.8,14.05
Bijelo Polje,43.04,19.75
Giffnock,55.8051,-4.2946
Chandi,22.3503,88.2828
Calvizzano,40.9,14.1833
Baucau,-8.4667,126.45
Oulad Ayyad,32.3333,-6.3833
Pincourt,45.3833,-73.9833
Saidpur,33.7421,73.0677
Astley,53.5008,-2.4454
Villecresnes,48.7214,2.5342
Bradford-on-Avon,51.347,-2.251
Bothell East,47.8064,-122.1844
Lydney,51.7286,-2.5285
Marquette-lès-Lille,50.6758,3.0661
Tottington,53.613,-2.339
Sohāna,30.6833,76.7
Glenfield,52.6491,-1.2062
Ferney-Voltaire,46.2558,6.1081
Byureghavan,40.3147,44.5936
Sāgarpur,26.2306,86.0732
Rāmpur,25.9256,84.7468
Lansdowne,39.9408,-75.276
West Haverstraw,41.2063,-73.9884
Brookdale,40.8348,-74.1798
West Athens,33.9235,-118.3033
Manatuto,-8.5167,126.0167
Rubirizi,-0.2661,30.1069
Leova,46.4833,28.25
Ros Comáin,53.6333,-8.1833
Mamushë,42.3167,20.7167
Ķekava,56.8333,24.2333
Opovo,45.0519,20.4303
Kaberamaido,1.7667,33.1522
Škofljica,45.9836,14.5761
Ta Khmau,11.4833,104.95
Zhemgang,27.2134,90.655
Žabljak,43.155,19.1208
Isangel,-19.53,169.28
Prokuplje,43.2339,21.5861
Fonadhoo,1.8342,73.5031
Markovci,46.3956,15.9314
Weno,7.45,151.85
Dogbo,6.8167,1.7833
Kladovo,44.6039,22.6072
Bangolo,7.0123,-7.4864
Knić,43.9167,20.7167
Resen,41.0893,21.0109
Bardaï,21.3533,17.0003
Lafayette,39.9946,-105.0998
Paulínia,-22.7611,-47.1542
Ituiutaba,-18.9667,-49.4667
Kimilili,0.7833,34.7167
Sarov,54.9333,43.3167
Shibata,37.9479,139.3273
Akşehir,38.3575,31.4164
Gießen,50.5833,8.6667
Avaré,-23.0989,-48.9258
Ocaña,8.2333,-73.35
Prijedor,44.9667,16.7
Kimje,35.8017,126.8889
Camiling,15.6867,120.4131
Wulan,36.5585,104.6765
Maratturai,11.1,79.65
Krishnagiri,12.5317,78.2174
Sambava,-14.2667,50.1667
Redwood City,37.5025,-122.2253
Hukou,24.9,121.05
La Louvière,50.4667,4.1833
Gobernador Gálvez,-33.0256,-60.6336
Sokcho,38.2069,128.5919
Turhal,40.39,36.09
Klin,56.3333,36.7333
Argao,9.8833,123.6
Camarillo,34.223,-119.0321
Bongabong,12.7469,121.4881
Ciudad Sandino,12.1667,-86.3553
Loveland,40.4166,-105.0623
Libon,13.3,123.4333
Gravesend,51.4415,0.3685
Landshut,48.5397,12.1508
Pattukkottai,10.43,79.32
Sangāreddi,17.6294,78.0917
Ede,52.05,5.6667
Tibati,6.4667,12.6333
Bāpatla,15.9044,80.4675
Kopargo,9.8375,1.5481
Sesvete,45.8269,16.1111
Walnut Creek,37.9024,-122.0399
Aqsū,52.0333,76.9167
Al Aḩmadī,29.0769,48.0838
Ixtlahuacán de los Membrillos,20.35,-103.1833
Xo‘jayli Shahri,42.4,59.45
Agoo,16.322,120.3647
Kerpen,50.8719,6.6961
Huquan,39.7603,114.2834
Glens Falls,43.3109,-73.6458
Bāqershahr,35.5325,51.4025
Maasin,5.8667,125.0
San Clemente,33.4499,-117.6102
Simav,39.0833,28.9833
Graaff-Reinet,-32.2522,24.5406
Kōshizuka,32.886,130.7897
Kolomyia,48.5167,25.0333
Caltanissetta,37.4903,14.0625
Ar Rastan,34.9167,36.7333
Djibo,14.1011,-1.6306
Barabai,-2.5833,115.3833
Autlán de Navarro,19.7667,-104.3667
Barneveld,52.1333,5.5833
San Marcos,8.6611,-75.1347
Agrigento,37.3167,13.5833
Masantol,14.9,120.7167
Wuyang,27.057,108.3959
Ma’erkang,31.9046,102.2167
Pradera,3.4167,-76.1667
Tiruvallūr,13.1231,79.912
Kędzierzyn-Koźle,50.35,18.2
Raxaul,26.9833,84.85
Tilakpur,28.5278,81.1189
Winneba,5.35,-0.625
Ambilobe,-13.2,49.05
Zile,40.3,35.8833
Barbalha,-7.305,-39.3019
Keighley,53.867,-1.911
Saruhanlı,38.7342,27.5658
Siena,43.3183,11.3314
Sultānganj,25.246,86.738
Sibonga,10.0333,123.5667
Guernica,-34.9167,-58.3833
Sagua la Grande,22.8086,-80.0711
Wolfenbüttel,52.1622,10.5369
Qabqa,36.2667,100.6167
Abdul Hakim,30.55,72.1328
Ānaiyūr,9.9615,78.1118
Rovigo,45.0809,11.794
Humaitá,-7.5061,-63.0208
Nazarovo,56.0,90.3833
Puławy,51.4167,21.9667
San Ignacio,-26.8867,-57.0283
Santa Lucía,21.0281,-75.9964
Grasse,43.6667,6.9167
Zongshizhuang,37.8615,115.0575
Vinzons,14.1739,122.9081
Ceres,37.5952,-120.962
Maţāy,28.4167,30.75
Ōamishirasato,35.5167,140.3167
Inhumas,-16.3578,-49.4958
Stillwater,36.1317,-97.0742
Penco,-36.7333,-72.9833
Landau,49.2,8.1167
Haeryong,34.9131,127.5394
Wangtan,39.2847,118.98
Lubny,50.0186,32.9869
Dhupgāri,26.6,89.02
Henrietta,43.0555,-77.6413
Albstadt,48.2119,9.0239
Kariya,34.7517,134.3931
Port Macquarie,-31.4333,152.9
Gaoua,10.3167,-3.1667
Yirga ‘Alem,6.75,38.4167
Nadym,65.5333,72.5167
Taketoyo,34.8511,136.9147
Albufeira,37.0897,-8.2458
Nilothi,28.8167,76.8667
Abqaiq,25.935,49.6661
Laurel,14.05,120.9
Raduzhnyy,62.1333,77.4667
Pirthīpur,25.1853,78.665
Kobayashi,31.9944,130.9517
Loufan,38.0694,111.7911
Sansanné-Mango,10.3556,0.4756
Cortlandt,41.2552,-73.9018
Aritao,16.2973,121.0338
Monterotondo,42.05,12.6167
Billerica,42.5587,-71.2673
Santa Maria da Vitória,-13.3978,-44.1978
Jayamkondacholapuram,11.2127,79.3637
Geel,51.1667,5.0
Niquero,20.0472,-77.5781
Lemgo,52.0272,8.9117
Partāpnagar,25.4145,87.0787
Pereslavl’-Zalesskiy,56.7381,38.8562
Leyte,11.3667,124.4833
Aracataca,10.5937,-74.1928
Oświęcim,50.0381,19.2214
Hurst,32.8353,-97.1809
Acevedo,1.8192,-75.8964
Veruela,8.0698,125.9554
Xonqa,41.4742,60.7822
Doğanşehir,38.0958,37.8792
Oraiókastro,40.7333,22.9167
São Mateus do Maranhão,-4.04,-44.47
Mira,45.4375,12.1329
Simão Dias,-10.7378,-37.8108
San Felipe Orizatlán,21.1719,-98.6064
Kamp-Lintfort,51.5,6.5333
Gampola,7.1647,80.5767
San Andres,13.3231,122.6761
Puri,-7.6833,15.6
Sārangpur,23.57,76.47
São Fidélis,-21.6458,-41.7469
Lebanon,36.204,-86.3481
Mieres,43.2508,-5.7767
Yongjing,23.9223,120.5356
Şuhut,38.5311,30.5458
Yasugichō,35.4283,133.2536
Santa Cruz Verapaz,15.3736,-90.4306
Emsdetten,52.1728,7.5344
Rende,39.3333,16.1833
Wokha,26.1,94.27
Matanog,7.4667,124.25
Ambohibary,-18.9,48.2333
Isumi,35.2539,140.3852
Randallstown,39.3723,-76.8024
Guamá Abajo,19.9758,-76.41
Pilar,-9.5972,-35.9567
Yecla,38.6167,-1.1167
Rūdarpur,26.4293,83.6104
Formigine,44.6072,10.9333
Anse-à-Veau,18.5167,-73.35
Yangquan,37.0749,111.5541
Barsinghausen,52.3,9.4811
Xincheng,38.2679,114.6832
Toda Bhīm,26.9167,76.8167
Gyapekurom,7.5833,-2.7833
Dimona,31.0667,35.0333
Dīvāndarreh,35.9139,47.0239
Tiruchendūr,8.4946,78.1219
Fatehpur Sīkri,27.0911,77.6611
Darsi,15.7667,79.6833
Kos,36.85,27.2333
Tavda,58.05,65.2667
Djenné,13.9,-4.55
Massafra,40.5833,17.1167
Teykovo,56.8547,40.5411
Kuji,40.1905,141.7757
Redan,33.7394,-84.1644
Lugo,44.4167,11.9167
Landecy,46.1834,6.1166
North Olmsted,41.4149,-81.919
Kangasala,61.4639,24.065
Yaguarón,-25.5621,-57.284
Itampolo,-24.6833,43.95
Dreux,48.7372,1.3664
Avola,36.9167,15.1333
Kotovsk,52.5833,41.5167
Kreuztal,50.9667,7.9667
Marks,51.7167,46.75
Guamo,4.0833,-74.9167
Culleredo,43.2883,-8.3894
Chitral,35.8511,71.7889
Chagne,10.95,36.5
Mossendjo,-2.95,12.7333
Laranjeiras do Sul,-25.4078,-52.4158
Rio Branco do Sul,-25.19,-49.3139
North Tonawanda,43.0457,-78.8659
Maguing,7.9,124.4
Al Madad,13.7167,44.7333
Friedberg,50.3333,8.75
Tizi Gheniff,36.5891,3.7678
San Roque,12.533,124.867
Bourgoin-Jallieu,45.5861,5.2736
San Jacinto,12.5683,123.7336
Purificación,3.8667,-74.9333
Labasa,-16.4311,179.3703
Kottakota,13.6573,78.2625
Texarkana,33.436,-93.9959
Schererville,41.4861,-87.4442
Bühl,48.6953,8.135
Kakiri,0.42,32.39
Babatngon,11.4207,124.8434
Mabini,9.865,124.523
Asago,35.3333,134.85
San Salvador,20.2833,-99.0153
Gyöngyös,47.7833,19.9333
Naranjal,-2.6728,-79.615
Tsushima,34.2,129.2833
Pershotravensk,48.3464,36.4044
Grimma,51.2386,12.7253
Qujingpu,38.0814,106.0489
Peniche,39.35,-9.3667
Anajás,-0.9869,-49.94
Mateus Leme,-19.9858,-44.4278
Salinas Victoria,25.9667,-100.3
Limoeiro do Ajuru,-1.895,-49.3808
Miramas,43.5822,5.0019
Corralillo,22.9856,-80.5831
Abarkūh,31.1267,53.2592
Oak Forest,41.6054,-87.7527
Haqqulobod,40.9061,72.1194
Bhuban,20.882,85.8333
Nelliyalam,11.5255,76.3589
Joaçaba,-27.1778,-51.505
Blagnac,43.6364,1.3906
Holbrook,40.7944,-73.07
Cândido Sales,-15.505,-41.2389
Ōtake,34.2333,132.2167
South Windsor,41.8353,-72.5733
Cuajinicuilapa,16.4717,-98.4153
Windsor,38.5422,-122.8089
Ubaidullāhganj,22.9983,77.5862
Walpole,42.1464,-71.2555
Sora,41.7167,13.6167
Dongfeng,22.2479,112.3794
Tholen,51.5333,4.2
San Sebastián Coatán,15.7333,-91.5667
Santo Antônio do Monte,-20.0869,-45.2939
San Martín,3.6944,-73.6936
Harsewinkel,51.9667,8.2331
Jaruco,23.0428,-82.0094
Kamonkoli,1.075,34.0956
Independência,-5.3958,-40.3089
Saidpur,25.55,83.18
Ban Khamen,13.8823,100.2879
Dhing,26.4679,92.4734
Anajatuba,-3.2639,-44.62
Edwardsville,38.7922,-89.9874
Watertown,43.9734,-75.9094
Ādīs Zemen,12.1167,37.7833
Turnu Măgurele,43.7517,24.8708
Santa Gertrudes,-22.4569,-47.53
Francisco Sá,-16.4102,-43.495
Pindwāra,24.7945,73.055
Raisio,60.4858,22.1692
Monte Cristi,19.8667,-71.65
Shama,5.0167,-1.6333
Kauswagan,8.1917,124.0847
Waldshut-Tiengen,47.6231,8.2144
Fish Hawk,27.8511,-82.2164
Sendamangalam,11.2825,78.2339
Douar ’Ayn Dfali,33.95,-4.45
Haren,52.7667,7.2167
Bulusan,12.7522,124.1356
Sonneberg,50.35,11.1667
Ponda,15.4034,74.0152
Kingston,41.9295,-73.9968
Ikeda,35.4423,136.573
Berehove,48.2025,22.6375
Qifţ,25.9956,32.8158
Soledad Atzompa,18.755,-97.1522
Leutkirch im Allgäu,47.8256,10.0222
San Ignacio de Velasco,-16.3667,-60.95
Senden,48.3167,10.0667
Santa Helena,-24.86,-54.3328
Salcajá,14.8833,-91.45
Moirāng,24.349,93.691
Farmington,44.6572,-93.1687
Gormi,26.6003,78.5119
Tashtagol,52.7667,87.8667
Gardner,38.8122,-94.9275
Araçariguama,-23.4386,-47.0614
Pointe à Raquettes,18.7833,-73.0667
Buriti Bravo,-5.8369,-43.8339
Shaomi,26.4727,104.8126
Kigumba,1.815,32.01
Timmāpur,19.0484,78.6414
Lochristi,51.1,3.8333
Burg,52.2725,11.855
Caravelas,-17.7319,-39.2658
Ấp Phú Mỹ,9.75,106.0
Gubbi,13.3122,76.941
Morinda,30.79,76.5
Lyndhurst,40.7965,-74.1099
Itigi,-5.7,34.4833
Laventille,10.65,-61.4833
Nirmāli,26.314,86.5854
Horizon City,31.6799,-106.1903
Manakambahiny,-17.8,48.3333
Amposta,40.7106,0.5808
Almoradí,38.1097,-0.7894
Ramona,33.0474,-116.8766
Etajima,34.2167,132.45
Kami,38.5718,140.8548
Gīnīr,7.1333,40.7
Galeras,9.1667,-75.05
Barro,-7.1769,-38.7819
Juli,-16.2125,-69.4603
Secaucus,40.781,-74.0659
Paradise,47.5333,-52.8667
Akonolinga,3.7667,12.25
Selden,40.8714,-73.0466
Varkaus,62.3167,27.8917
Schifferstadt,49.3833,8.3667
Toguchin,55.2333,84.4167
Luckenwalde,52.0833,13.1667
Ripley,53.05,-1.407
São Vicente Ferrer,-2.8939,-44.88
Makakilo,21.3591,-158.0813
Dharmkot,30.9456,75.2324
Arroyo Seco,-33.1667,-60.5
Senapparetti,10.9625,78.1132
Rhenen,51.9667,5.5667
Korntal-Münchingen,48.8306,9.1214
Harmanli,41.9333,25.9
Tyrnyauz,43.4,42.9167
Montalto Uffugo,39.4,16.15
Essex,42.0833,-82.9
Danao,10.0167,124.2667
Abhayāpuri,26.3225,90.6853
East Northport,40.8791,-73.3233
Boromo,11.75,-2.9333
Bothell West,47.8056,-122.2401
Dagohoy,9.9167,124.2833
Callosa de Segura,38.1225,-0.8797
Puerto Leguízamo,-0.1939,-74.7806
Ennigerloh,51.8367,8.0256
Ennis,32.3254,-96.6347
Prunedale,36.8064,-121.6555
Piratini,-31.4478,-53.1039
Sélestat,48.2594,7.4542
Taketa,32.9667,131.4
Someren,51.3833,5.7167
Alzey,49.7458,8.1153
El Arahal,37.2667,-5.55
Aradíppou,34.9478,33.5881
Alcoy,9.7082,123.506
Fécamp,49.7575,0.3792
Kamiichi,36.6984,137.3624
Lexington,35.8018,-80.2682
Qandala,11.4711,49.8739
Kabūdarāhang,35.2083,48.7239
Forio,40.7333,13.85
El Rosal,4.8519,-74.2628
Ambodinonoka,-20.9833,47.8833
Pinole,37.9931,-122.2833
Oirschot,51.5,5.3
Sebaste,11.5901,122.0945
Gautier,30.4106,-88.6568
Nelidovo,56.2167,32.8
Monor,47.3475,19.4489
Santa Fe Springs,33.9329,-118.0625
Goyty,43.1642,45.6228
Inhapi,-9.2189,-37.7539
Baliangao,8.6667,123.6
Shaogang,38.1584,106.0661
Cariús,-6.5369,-39.4969
Oskū,37.9108,46.1264
San Vicente Pacaya,14.4161,-90.6392
São José da Coroa Grande,-8.8978,-35.1478
L’Isle-d’Abeau,45.6194,5.2331
Großenhain,51.2833,13.55
Oyama,35.3601,138.9873
Isfana,39.8389,69.5275
San Jose,12.531,124.487
Pānchgrām,24.1996,88.0077
St. Michael,45.2014,-93.692
Matigou,37.6043,109.9024
Villanueva del Pardillo,40.4833,-3.9667
Ambovombe Afovoany,-20.7667,47.0833
Odaipatti,9.8323,77.4433
Golitsyno,55.6147,36.9872
North Aurora,41.8086,-88.3414
Cesson-Sévigné,48.1208,-1.6036
Esperanza,11.7369,124.0417
Laatatra,32.6315,-8.4148
Salmon Arm,50.7022,-119.2722
Schijndel,51.6167,5.4333
Sìnnai,39.3026,9.2031
Pataskala,40.011,-82.7155
Derhachi,50.1114,36.1219
Dharmāpuri,18.9475,79.094
Concorezzo,45.5897,9.3359
Mujikharf,38.85,69.8833
Beaumont,53.3572,-113.4147
Pital,10.6024,-84.2474
Handlová,48.7272,18.7619
Peçanha,-18.5489,-42.5569
Minakami,36.6786,138.9991
Barrington,41.7443,-71.3145
El Reno,35.5429,-97.966
Gurh,24.5026,81.5004
Knemis Dades,31.309,-6.028
Los Lunas,34.8115,-106.7803
San Miguelito,11.4025,-84.9003
Isoanala,-23.8333,45.7167
Aklanpa,8.1684,2.232
Vatutine,49.0167,31.0667
Farmingville,40.839,-73.0404
Boden,65.8256,21.6906
Fuying,40.8754,117.6978
Kauhava,63.1,23.0667
Ayyampālaiyam,10.2253,77.7485
Zirara,32.35,-8.5333
Rājāsūr,17.86,76.95
Ad Dīs,14.91,49.992
Beaver Dam,43.4688,-88.8309
Palanisettipatti,9.9998,77.4641
Longchang,27.6627,105.7881
Chittūr,11.647,77.8239
Dyer,41.4977,-87.509
Bassum,52.8494,8.7267
Dieburg,49.9,8.85
Walldorf,49.3,8.65
Sadhoa,25.4049,87.198
Yaojia,28.4547,109.1831
Fenoarivo,-20.8667,46.8833
Finsterwalde,51.6282,13.7102
Frankfort,40.281,-86.5212
Bad Bentheim,52.3031,7.1597
Ambalatany,-22.5333,47.6
Antindra,-14.1333,49.8167
Bracebridge,45.0333,-79.3
Puliyūr,10.9499,78.1453
Lidzbark Warmiński,54.1167,20.5833
San Bartolomé Jocotenango,15.1928,-91.0775
Fort Mohave,35.0004,-114.5748
Ibateguara,-8.9728,-35.9389
Ovruch,51.3244,28.8081
Santa Cecília,-26.9608,-50.4269
Mount Clemens,42.5977,-82.8821
Einsiedeln,47.1167,8.7333
Valeggio sul Mincio,45.35,10.7333
Baia-Sprie,47.6592,23.7042
Ban Pang Mu,19.3336,97.9656
Monroe,39.4461,-84.3667
Rellingen,53.65,9.8167
Horsham,-36.7167,142.2
Outreau,50.7039,1.5939
Schroeder,-26.4128,-49.0728
Rochedale,-27.6,153.133
San Luis del Palmar,-27.5167,-58.5667
Belokurikha,51.9833,84.9833
Pāli,26.0576,86.3097
Paralímni,35.0333,33.9833
Belchertown,42.2788,-72.4004
Kurumbalūr,11.236,78.8005
Gardabani,41.45,45.1
Rāmechhāp,27.326,86.087
Vohilava,-20.7,48.35
Alexándreia,40.6333,22.45
Hereford,34.8225,-102.4001
Penrith,-33.7511,150.6942
Tabant,31.6581,-6.42
Raynham,41.9312,-71.0437
Shuichecun,24.09,116.0174
Bhalil,33.85,-4.8667
Rotenburg an der Fulda,50.9961,9.7278
Comox,49.6733,-124.9022
Andorinha,-10.345,-39.8328
Harhorin,47.1972,102.8239
Orbetello,42.4394,11.2125
Wschowa,51.8,16.3167
Hammonton,39.6572,-74.7678
Bicas,-21.725,-43.0589
Markdorf,47.7208,9.3917
Oschatz,51.3003,13.1072
Mocha,13.3203,43.25
Corinth,34.9474,-88.5143
Eching,48.3,11.6167
Bokod,16.4914,120.83
Pueblo Rico,5.25,-76.1667
Ascensión,-15.6996,-63.08
Ayni,38.6667,68.8167
Furukawamen,33.2384,129.6504
Ishikawa,37.1571,140.4468
Rezzato,45.515,10.3175
Bedford,42.4969,-71.2783
Beloeil,50.5333,3.7167
Brasilândia,-17.01,-46.0089
Medapādu,17.0044,82.1001
Jefferson Valley-Yorktown,41.318,-73.8008
San José Acatempa,14.2667,-90.1333
Kaluvāya,14.5117,79.4101
Gouveia,40.5,-7.6
Mór,47.3717,18.2086
Skoczów,49.8006,18.7883
Poço Branco,-5.6228,-35.6628
Dhutauli,25.5274,86.625
Fagnano Olona,45.6667,8.8667
Barghāt,22.0306,79.7328
Douar Lehgagcha,32.55,-8.7167
Wayland,42.3586,-71.3594
Alagoinha,-8.4658,-36.7758
Carmópolis,-10.6478,-36.9889
Chandla,25.0715,80.1929
Kotgīr,18.5722,77.8243
Nules,39.8525,-0.1506
Lakeland,35.2585,-89.7308
Itapagipe,-19.9089,-49.3808
Hösbach,50.0,9.2
Udayagiri,20.1242,84.3687
Santaquin,39.9708,-111.7941
Ouargaye,11.5,0.05
Bhankarpur,30.65,76.82
Matias Barbosa,-21.8689,-43.3189
Seabrook,29.5751,-95.0235
Hockessin,39.7837,-75.6815
Akhty,41.4647,47.74
